document	label
네 가능합니다	0
얼마인가요?	1
나물 세트 오곡 찰밥 소고기 비빔 고추장 배추 겉절이 나 박물 김치가 있어요	0
리본핀이 요새 유행인가 보네	1
십이만 원에서 십사만 원입니다	0
지금 가격도 세일가격이라, 해드릴 수 없어요	0
원장님은 염색하고 파마하신 거예요?	1
커트하려고 하는데요	1
키위 신선하게 먹으려면 언제까지 먹어야해요?	1
바비큐장은 방 앞에 개별적으로 테라스가 있고 숯은 따로 피워 드려요. 가격은 만 오천원 정도 받고 있어요	0
조식 무료 서비스 가능해요	0
포켓볼도 가격이 같나요?	1
토마토는 얼마에요?	1
매장 전화번호가 어떻게 돼요?	1
한정식이랑 레스토랑이 있어서 메뉴에 따라 달라요. 한정식은 2만5천원부터 6만9천원까지고, 레스토랑 피자면 만8천원부터 2만3천원까지 있어요	0
부드러운 천으로 닦아주세요	0
십 년 넘었어요	0
잘 어울리는지 봐주세요	1
나중에 안 갖다 놓으세요?	1
냉동 딸기도 있나요?	1
아니요, 양념은 집에 가서 하여야죠	0
우유식빵이에요	0
주말 빼고 다 열어요	0
방학에는 몇 시까지 하나요?	1
네, 배달해 드셔도 돼요	0
언제쯤 다시 들어오나요?	1
케이크는 어떤 게 있나요?	1
여기 아파트는 타워형이죠?	1
일억 천 오백 정도요	0
네, 방 있어요	0
가장 인기 있는 색상으로 봐드릴게요	0
예약 일이 언제예요?	0
세일해서 26만 5천 원입니다	0
어깨가 커 보이는데 	1
다 국내에서 만들어서 가져오신건가요?	1
아이들마다 조금씩 다르더라고요	0
오른쪽으로 보시면 있습니다	0
할인은 안되세요	0
5억짜리 주택 매매하면 세금은 얼마입니까?	1
44 55 66 사이즈 나오고 있습니다 고객님	0
몇 시부터 체크인이 가능한가요?	1
1층에 방 1개 2층에 방 2개 총 3개입니다	0
예 와이파이가 설치되어 있습니다	0
네 여기는 할인되거나 이런 카드 없죠?	1
팔찌 좀 핫한 제품 뭐가 있어요?	1
직원이 직접 계약을 맺어줘요. 이 비용에 다 홈스테이나 숙박이 포함이 돼있고요	0
예 2층은 다 커플석입니다	0
네, 이거는 두피 전문 샴푸거든요	0
얼마에요?	1
여기 1층 앞에 본죽 옆에 보시면 지하로 내려가는 통로가 있어요 거기 주차하고 엘리베이터 타고 올라오시면 돼요	0
총 8000원입니다	0
아이가 들고 다닐 수 있는 캐릭터 백팩을 찾고 있습니다. 	1
아니요 봄 신상이라서 내피가 얇은 편입니다	0
한복 같은 거 리폼도 해주시나요?	1
요즘 치아바타가 잘 나가요	0
네 그렇습니다	0
네 감사합니다	0
조금만 주세요 이거는 주문하고 나오는 데 얼마쯤 걸려요?	1
양파로 염색하면 냄새나는 거 아니에요?	1
그럼 염색은 할 수 있나요?	1
#주소# 29평 32평 2가지죠?	1
네, 이 빵은 딸기가 들어 있어요	0
3번 세트메뉴에 자장면 곱빼기 변경되나요	1
퇴실시간은 낮 12시에요	0
네	0
세면도구는 다 되어 있고 칫솔만 가져오면 돼요	0
비번은 전화번호입니다 #전화번호#	0
이 떡은 유통기한이 어떻게 돼요?	1
아파트 안에 엘리베이터 중간에 한 개 인가요?	1
화장실 어디에 있어요?	1
빅맥세트 얼마에요?	1
재개발은 안 들어가나요?	1
음료 사이즈는 뭐 뭐 있나요?	1
간단한 요리해 먹을 수 있나요?	1
불고기는 국내산인가요?	1
그럼요	0
메는 가방 있죠?	1
여자애들도 있나요?	1
3개월 무이자 다 돼요	0
네 가격이 좀 오른 곳이네요	0
여성 재킷은 반대쪽에도 걸려있습니다	0
요런 티는 가격이 얼마예요?	1
샴푸 서비스 받으면 얼마에요?	1
네 옆으로 나란히 붙어있는 자리입니다	0
주차공간이 따로 마련되어 있나요?	1
겨울철 이불이라 좀 큰데 세탁이 될까요?	1
네 컵 홀더 하나 드리겠습니다	0
비상구는 어느 쪽에 있나요?	1
약은 식후에 복용하는거죠?	1
윙이랑 봉이라고 해서 사이드로 나가는 거고 메인 메뉴로는 없습니다	0
2010년 이후에 지어진 건물 있나요?	1
예약 가능한가요?	1
그건 달지 않나요?	1
우유 배달을 따로 신청 받지는 않아요	0
일반재질보다 세모가 더 비싼가요?	1
오후 8시 반까지 영업합니다	0
애들 교복 치맛단 줄이는 건 얼마해요?	1
네 브랜드 공식 홈페이지에서 안내받으시면 됩니다	0
그 코트는 울이라서 좀 비싸요. 이십 팔만 원이에요	0
이번 주 토요일로 예약 가능해요	0
물 좀 마시려는데 정수기 어디 있어요?	1
곤색 옷은 얼마예요?	1
고객님께서 관리를 잘해주시면 6개월 정도 유지돼요	0
따뜻한 아메리카노 한 잔은 얼마인가요?	1
혹시 위에만 맞출 수도 있나요?	1
저 한라봉은 얼마예요?	1
지금은 20퍼센트에서 40퍼센트 정도 들어가요	0
이거는 얼마예요?	1
안약 얼마에요?	1
사이즈는 다 있어요?	1
50분 정도 걸립니다	0
네 계산해드릴게요	0
내일 아침 10시 예약할 수 있나요?	1
머리 상한거 케어를 몇 회 정도 받아야 하나요?	1
3만 2천 원입니다	0
네 운동화 세탁 가능합니다	0
돼지고기 불고깃감으로 한 근에 얼마예요?	1
예 알겠습니다	0
네 잠시만요	0
네 여기 메뉴판 있습니다	0
오늘 영업하시나요?	1
테라피인데 초등학생이나 아토피 있는 민감한 애들에게 쓰는 제품이에요	0
네 이쪽에 있는 것들이 확장 가능한 27인치 가방들이에요	0
전세는 없어요?	1
네 모든 PC에 설치되어 있습니다	0
네, 생수는 필요할 때 말씀해주시면 돼요	0
이런 약은 호르몬을 조절을 하는거에요?	1
7시 예약했는데 확인해주실래요?	1
네 알겠습니다	0
결제 카드로 해도 되나요?	1
그럼 운동화는 한 켤레 얼마 정도 해요?	1
작년 십이월에 시작하셨어요?	1
해열제랑 편도염 완화로 챙겨드릴게요	0
그 옷 현금으로 구매하시면 오만 사천원까지 할인해드릴게요	0
레벨 테스트는 없고 학년에 맞춰서 움직입니다	0
가격은 얼만데예?	1
네 갖다 드릴게요	0
수선 정도에 따라 금액이 다르기 때문에 정확히 말씀드리기 어렵습니다	0
얼만데요?	1
네, 하나 더 드릴게요	0
백 그램에 이천팔백원 이면 싼 편이에요?	1
여기 #주소#는 매물이 없다고 하더라고요?	1
당구장 자리 있나요?	1
물론입니다	0
귀걸이 좀 보고 싶은데요	1
4000원입니다	0
쿠키 선물할 거 있어요?	1
광택 나는 신발이 유행인가 봐요?	1
이쪽에서 보세요	0
#주소#에 서른평대 매매 있어요?	1
내일 가려고 하는데 전화로 예약 가능한가요?	1
네	0
안녕하세요 이쪽으로 오세요	0
한 아파트에는 몇 층까지 있어요?	1
9만 8천 원이요	0
남향 찾으세요, 동향 찾으세요?	0
커피 들어가는 음료 중에 덜 단 게 있나요?	1
화장실 어디 있어요?	1
1시간에 2000원입니다	0
가게 아침 몇시에 문 열어요?	1
돼지고기 삼선 해물 야채를 여러 가지 채로 모양내서 양장피라는게 있거든요 그걸 삶아서 만든거에요	0
네 이십 프로 됩니다	0
색깔은 두 가지인가요?	1
지금 사도 배달 돼요?	1
성인 두 분이면 열평짜리 온돌 룸, 침대 룸이 예약이 가능하세요	0
세일가 이만 구천 원이구요	0
이 주변에 1 대 1로 수업하는 학원 어디 있는지 아세요?	1
이거 하고나면 안 뭉치나요?	1
언제부터 언제까지 하시나요?	1
급식비는 얼마씩이에요?	1
몇 시부터 몇 시까지 하시나요?	1
포도알이 큰 게 더 비싼 거에요.	0
숄더백입니다	0
정장용 백인 가요?	1
네 잠시만 기다려 주세요	0
경희대 지원하려는데 그거에 맞는 프로그램이 있을까요?	1
네 아메리카노는 투 샷이에요	0
원룸 저렴하게 나온 것 있어요?	1
콩자반과 진미채볶음 있어요	0
혼자 왔는데 어디 앉으면 돼요?	1
네 그게 다예요	0
비치되어 있는 타월 말고 추가로 3장 더 주실 수 있나요?	1
네 프리에요	0
삼만원입니다	0
